timestamp	flag	time	path	script
integ_20091222.0532.187759912.log	START	0	/di/admin/programs	../programs/590_usage_full_list.int -D Period=1 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D port=
integ_20091222.0532.187759912.log	END	2	/di/admin/programs	../programs/590_usage_full_list.int -D Period=1 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D port=
integ_20091222.0532.267648827.log	START	0	/di/admin/programs	../programs/320_events_get_userlist.int -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D Period=2
integ_20091222.0532.267648827.log	FAILED	0	/di/admin/programs	../programs/320_events_get_userlist.int -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D Period=2
integ_20091222.0532.284212603.log	START	0	/di/admin/programs	../programs/330_users_get_user_type.int -D Period=2 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs
integ_20091222.0532.284212603.log	FAILED	0	/di/admin/programs	../programs/330_users_get_user_type.int -D Period=2 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs
integ_20091222.0532.294266569.log	START	0	/di/admin/programs	../programs/520_events_get_list.int -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D Period=2
integ_20091222.0532.294266569.log	FAILED	0	/di/admin/programs	../programs/520_events_get_list.int -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D Period=2
integ_20091222.0532.310504637.log	START	0	/di/admin/programs	../programs/550_usage_get_active_times_last.int -D Period=2 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs
integ_20091222.0532.310504637.log	FAILED	0	/di/admin/programs	../programs/550_usage_get_active_times_last.int -D Period=2 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs
integ_20091222.0532.326459250.log	START	0	/di/admin/programs	../programs/530_events_user_usage.int -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D Period=2 -D port=
integ_20091222.0532.326459250.log	FAILED	0	/di/admin/programs	../programs/530_events_user_usage.int -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D Period=2 -D port=
integ_20091222.0532.342667817.log	START	0	/di/admin/programs	../programs/590_usage_full_list.int -D Period=2 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D port=
integ_20091222.0532.342667817.log	FAILED	0	/di/admin/programs	../programs/590_usage_full_list.int -D Period=2 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D port=
integ_20091222.0527.391271410.log	END	321	/di/admin/programs	di_main.int
